filename,accent_group,reference_text
svarah_samples/Urdu_115.wav,Urdu,etc
svarah_samples/Urdu_130.wav,Urdu,The promotion of consumption patterns characterized by over-exploitation
svarah_samples/Urdu_142.wav,Urdu,"Yes, when I had visited Taj Mahal"
svarah_samples/Urdu_143.wav,Urdu,that would become centres of intense nationalist activities
svarah_samples/Urdu_147.wav,Urdu,Wow
svarah_samples/Urdu_151.wav,Urdu,What are some local cuisines or dishes that tourists should try while visiting your state?
svarah_samples/Urdu_182.wav,Urdu,Can you check my total holdings in APY account having PRAN number 652922439958
svarah_samples/Kannada_0.wav,Kannada,Our district Hasana was the land of the great Hoysala dynasty who ruled over this region from 11th to 14th century CE.
svarah_samples/Kannada_1.wav,Kannada,There is a gradual shift in the mentality
svarah_samples/Kannada_10.wav,Kannada,"Among the poets, I remember William Wordsworth, T.S."
svarah_samples/Kannada_37.wav,Kannada,our local traditions and beliefs by giving an opportunity
svarah_samples/Kannada_68.wav,Kannada,with the leading newspapers such as Bangalore Mirror
svarah_samples/Kannada_79.wav,Kannada,mint tea is a very great refreshing drink and this vandalaga and dodapathre can be used in preparation of a regional delicacy called one thambuli
svarah_samples/Kannada_96.wav,Kannada,for higher education they have to travel or shift to a
svarah_samples/Kannada_97.wav,Kannada,Agree
svarah_samples/Kannada_155.wav,Kannada,Don The Chase Begins Again starred Shah Rukh Khan and Priyanka Chopra and the movie became Rampal's first hit.
svarah_samples/Kannada_194.wav,Kannada,Skip
svarah_samples/Kannada_195.wav,Kannada,as my profession was in chemistry and chemical engineering
svarah_samples/Kannada_197.wav,Kannada,"you can enjoy the Himalayan forests, gushing river waters, a serene Himalayan lake, clear view of snow-clad mountain ranges, widely spread cool bagyals"
svarah_samples/Kannada_210.wav,Kannada,Talking about the challenges particularly faced by the women
svarah_samples/Kannada_222.wav,Kannada,"though okay, but making it compulsory or a kind of"
svarah_samples/Kannada_228.wav,Kannada,yes
svarah_samples/Odia_13.wav,Odia,what is an usual word and what is unusual words and phrases
svarah_samples/Odia_23.wav,Odia,"So, as in our state, the government is launching a lot of programs and schemes for business, dealers and owners to make the traditional way of business into digitalization as it is more easier"
svarah_samples/Odia_59.wav,Odia,Are there any vaccination centres available in Bhandara district for age group 15-17 years
svarah_samples/Odia_63.wav,Odia,So there are a lot of beaches throughout the eastern coastline of Odisha.
svarah_samples/Odia_76.wav,Odia,Stop
svarah_samples/Odia_77.wav,Odia,"Further, undue influence rarely occurs on its own."
svarah_samples/Odia_78.wav,Odia,and
svarah_samples/Odia_116.wav,Odia,"and also to school, providing computers and books to the school students"
svarah_samples/Odia_131.wav,Odia,"Both Al-Jazeera and the editors of the Boston, Massachusetts-based paper have also called for her safe release."
svarah_samples/Odia_139.wav,Odia,It makes our life so easy and I don't need to make a note on paper and pen so I can make the presentations. It makes it more easy.
svarah_samples/Odia_164.wav,Odia,Can you check if the OTP 647399 is still valid for vaccine registration for user with phone number 71615084958
svarah_samples/Odia_166.wav,Odia,you can talk about common things if you travel
svarah_samples/Odia_178.wav,Odia,Can I know the nearest medical store to my current location in district Dindigul
svarah_samples/Odia_184.wav,Odia,One
svarah_samples/Odia_215.wav,Odia,Remove my finger print from PayPal and keep PIN option only!
svarah_samples/Telugu_32.wav,Telugu,"trains,"
svarah_samples/Telugu_41.wav,Telugu,and they went off into the space when earth was burning up or being destroyed
svarah_samples/Telugu_42.wav,Telugu,that I came here.
svarah_samples/Telugu_55.wav,Telugu,You are 2 hours late than the delivery time for my products Pantene Bamboo Shampoo and 24 Mantra Chana Dal
svarah_samples/Telugu_57.wav,Telugu,What is your favorite painting style or technique and why?
svarah_samples/Telugu_93.wav,Telugu,define the word novel
svarah_samples/Telugu_100.wav,Telugu,Different nations face different complex problems in various domains.
svarah_samples/Telugu_107.wav,Telugu,Do I have enough money in my SBI account to make a transaction of 400 Rs ?
svarah_samples/Telugu_113.wav,Telugu,what is the weather like
svarah_samples/Telugu_125.wav,Telugu,A substitution of an entire unit at once is called a line change.
svarah_samples/Telugu_138.wav,Telugu,and I encountered a few difficulties in speaking English but not in writing in English.
svarah_samples/Telugu_145.wav,Telugu,"Goan food may be divided into Goan Catholic and Goan Hindu cuisine with each showing very distinct tastes, characteristics, and cooking styles."
svarah_samples/Telugu_163.wav,Telugu,Skip
svarah_samples/Telugu_172.wav,Telugu,Tree
svarah_samples/Telugu_174.wav,Telugu,How does the art and craft sector in your state engage with or respond to global or international trends or influences? The art and craft of our state
